Subject,RR2_PAV,RR2_INS,RR2_OMS,RR5_PAV,RR5_INS,RR5_OMS,RR20_PAV,RR20_INS,RR20_OMS
TEST,#F6FD1E,#951BFA,#0036FF,#2C9006,#F81607,#FF8300,#F898B8,#855200,#E1E1E1
Jagger,#F6FD1E,#951BFA,#0036FF,#2C9006,#F81607,#FF8300,#F898B8,#855200,#E1E1E1
Bowie,#E1E1E1,#F6FD1E,#951BFA,#0036FF,#2C9006,#F81607,#FF8300,#F898B8,#855200
Zappa,#855200,#E1E1E1,#F6FD1E,#951BFA,#0036FF,#2C9006,#F81607,#FF8300,#F898B8
Evaristo,#F898B8,#855200,#E1E1E1,#F6FD1E,#951BFA,#0036FF,#2C9006,#F81607,#FF8300
Meat Loaf,#FF8300,#F898B8,#855200,#E1E1E1,#F6FD1E,#951BFA,#0036FF,#2C9006,#F81607
Herriot,#F81607,#FF8300,#F898B8,#855200,#E1E1E1,#F6FD1E,#951BFA,#0036FF,#2C9006
Hendrix,#2C9006,#F81607,#FF8300,#F898B8,#855200,#E1E1E1,#F6FD1E,#951BFA,#0036FF
Iggy,#0036FF,#2C9006,#F81607,#FF8300,#F898B8,#855200,#E1E1E1,#F6FD1E,#951BFA
Jubilee,#951BFA,#0036FF,#2C9006,#F81607,#FF8300,#F898B8,#855200,#E1E1E1,#F6FD1E
Kurt,#F6FD1E,#951BFA,#0036FF,#2C9006,#F81607,#FF8300,#F898B8,#855200,#E1E1E1
Sting,#E1E1E1,#F6FD1E,#951BFA,#0036FF,#2C9006,#F81607,#FF8300,#F898B8,#855200
Joplin,#855200,#E1E1E1,#F6FD1E,#951BFA,#0036FF,#2C9006,#F81607,#FF8300,#F898B8